laneInd;pointInd;x;y;z;isStopLine;arrayJunctionId;arrayTrafficLight;arrayTrafficSign
1;1;-79.3787787477;287.3597260827;0;0;-1;-1;-1
1;2;-81.4712584791;286.9039384184;0;0;-1;-1;-1
1;3;-82.7764686086;285.6608811522;0;0;-1;-1;-1
1;4;-83.819824;278.43714;0;0;-1;-1;-1
1;5;-84.561672;271.365066;0;0;-1;-1;-1
1;6;-85.016461;264.213736;0;0;-1;-1;-1
1;7;-84.44166;263.021061;0;0;-1;-1;-1
1;8;-83.651439;262.280277;0;0;-1;-1;-1
1;9;-82.293257;261.727025;0;0;-1;-1;-1
1;10;-80.4232123911;261.677511391;0;0;-1;-1;-1
1;11;-73.3524635792;261.461931871;0;0;-1;-1;-1
1;12;-65.3514856089;261.20266248;0;0;-1;-1;-1
1;13;-58.1398418119;260.921795089;0;0;-1;-1;-1
1;14;-51.187552;260.708983059;0;0;-1;-1;-1
1;15;-44.2177627822;260.47331203;0;0;-1;-1;-1
1;16;-37.2480125643;260.221965579;0;0;-1;-1;-1
1;17;-30.682167;260.037246;0;0;-1;-1;-1
1;18;-29.432918;260.75614;0;0;-1;-1;-1
1;19;-28.447249;262.148884;0;0;-1;-1;-1
1;20;-28.079279;263.609788;0;0;-1;-1;-1
1;21;-27.8155219703;267.275875386;0;0;-1;-1;-1
1;22;-27.4668991881;271.491099713;0;0;-1;-1;-1
1;23;-27.1372038416;275.570516763;0;0;-1;-1;-1
1;24;-26.8490857427;278.412468644;0;1;6;-1;-1
2;0;-85.4308008514;290.419875129;0;0;-1;-1;-1
2;1;-84.0430773465;289.006750188;0;0;-1;-1;-1
2;2;-83.0658467822;287.197822723;0;0;-1;-1;-1
