exitPoint;entrancePoint;plannedBehavior
0.0.1.643;1.0.0.33;2
0.0.1.643;1.1.2.117;3
0.0.1.26;6.0.1.0;2
1.0.1.18;7.0.0.4;2
1.0.1.53;0.0.1.0;2
1.1.1.182;2.0.1.2;3
1.1.1.31;7.0.1.0;3
1.1.1.49;4.0.0.1;2
1.1.1.49;3.1.1.0;3
2.0.1.430;5.0.1.2;2
2.0.1.89;5.1.1.1;2
2.0.1.118;3.0.1.0;2
2.1.1.29;5.1.2.0;3
2.1.1.38;5.0.2.0;3
2.1.1.111;1.0.0.21;2
2.1.1.111;1.1.2.25;3
3.0.1.50;1.0.1.0;2
3.0.1.50;4.0.1.0;3
3.1.1.41;2.1.1.0;3
4.0.1.131;1.1.1.0;2
4.0.1.136;0.0.1.3;1
5.0.1.29;2.0.0.87;2
5.0.1.29;2.1.2.28;3
5.1.1.24;2.0.0.80;2
5.1.1.24;2.1.2.36;3
6.1.1.17;0.0.0.191;2
7.0.1.19;2.0.0.7;2
7.0.1.19;2.1.2.104;3
